respondent_id,age_group,gender,city_tier,occupation,monthly_income,discovery_channel_1,discovery_channel_2,social_media_hours,dietary_preference,cuisine_north_indian,cuisine_south_indian,cuisine_bengali,cuisine_rajasthani_gujarati,cuisine_continental_italian,cuisine_chinese_pan-asian,cuisine_street_food_chaat,cuisine_mediterranean,flavour_spicy_and_bold,flavour_mild_and_comforting,flavour_sweet_and_indulgent,flavour_tangy_and_zesty,flavour_savoury_and_umami,flavour_herbal_and_earthy,health_weight_management,health_high_protein,health_low_sugar_diabetic,health_gut_health,health_energy_&_stamina,health_gluten-free,health_no_specific_goal,interest_healthy_meal_bowls,interest_functional_beverages,interest_millet_superfood_snacks,interest_breakfast_boxes,interest_office_fuel_packs,addon_protein_boost,addon_extra_dressing_chutney,addon_side_salad_raita,addon_dessert_sweet_bite,addon_energy_drink_smoothie,addon_none,meals_ordered_per_day,occasion_breakfast,occasion_midmorning_snack,occasion_lunch,occasion_evening_snack,occasion_dinner,occasion_late_night,ordering_channel_1,ordering_channel_2,biggest_frustration,monthly_food_spend,max_wtp_meal_bowl,mood_food_sensitivity,brand_yoga_bar,brand_the_whole_truth,brand_sleepy_owl,brand_epigamia,brand_raw_pressery,brand_id_fresh_mtr,brand_slurrp_farm,brand_none_of_these,clean_label_importance,eco_packaging_willingness,combo_movie_night,combo_wfh_lunch,combo_post_gym,differentiator_1,differentiator_2,subscription_interest,expected_order_frequency,likelihood_to_try_moodmeal
MM0011,18-24,Male,Metro,Freelancer,1L-2L,Friend/family,Google search,More than 4 hours,Non-vegetarian,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,Quick commerce,Brand's own app,No healthy options nearby,Above 10K,Above 600,3,0,0,0,0,1,0,1,0,4,Yes definitely,Snack box + functional soda,Nothing - cook at home,Breakfast box + cold coffee,Healthy ingredients,Personalised recommendations,Maybe - depends on price,3-5 times/week,Definitely yes
MM0012,55+,Male,Metro,Retired,50K-1L,Instagram/YouTube,In-store browsing,2-4 hours,Vegetarian,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,3+,1,1,0,1,0,0,Subscription box,Offline retail,Too unhealthy,6K-10K,150-250,4,0,1,0,1,0,1,0,0,4,No - price matters,Comfort bowl + dessert,Nothing - cook at home,Breakfast box + cold coffee,Variety & regional flavours,Fast delivery,Yes - weekly,Daily,Probably yes
MM0013,45-54,Female,Tier 2,Retired,50K-1L,Google search,Influencer reviews,Less than 1 hour,Vegetarian,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,Subscription box,Offline retail,Boring/no variety,Above 10K,400-600,3,1,0,0,0,1,0,0,0,2,No - price matters,Millet chips + cold brew,Nothing - cook at home,Millet bar + smoothie,Affordable pricing,Personalised recommendations,No - on demand,Rarely/unsure,Probably no
MM0014,18-24,Male,Metro,Student,Below 25K,Influencer reviews,Google search,More than 4 hours,Non-vegetarian,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,3+,0,1,1,1,0,0,Offline retail,Delivery apps,No personalisation,Below 1K,250-400,2,0,0,0,1,1,1,0,0,3,No - price matters,Snack box + functional soda,Nothing - cook at home,Protein bowl + energy drink,Personalised recommendations,Mood-based packaging,No - on demand,Few times/month,Probably yes
MM0015,18-24,Male,Tier 2,Student,25K-50K,Instagram/YouTube,Delivery app suggestions,2-4 hours,Vegetarian,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,1,0,1,1,Offline retail,Brand's own app,No healthy options nearby,1K-3K,Below 150,2,0,0,0,0,0,1,0,0,4,Yes if same quality,Millet chips + cold brew,Meal bowl + green tea,Breakfast box + cold coffee,Variety & regional flavours,Personalised recommendations,Yes - monthly,3-5 times/week,Definitely yes
MM0016,18-24,Male,Metro,Freelancer,1L-2L,Friend/family,Influencer reviews,1-2 hours,Flexitarian,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2,0,1,1,1,1,0,Brand's own app,Quick commerce,Boring/no variety,Below 1K,400-600,4,0,0,1,0,1,1,0,0,4,Yes if same quality,Snack box + functional soda,Office fuel + smoothie,Protein bowl + energy drink,Affordable pricing,Healthy ingredients,No - on demand,3-5 times/week,Definitely yes
MM0017,25-34,Male,Tier 3,Working professional,25K-50K,Google search,Influencer reviews,More than 4 hours,Non-vegetarian,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,Offline retail,Delivery apps,Too unhealthy,Below 1K,Below 150,3,0,0,0,0,0,0,0,1,3,Yes definitely,Snack box + functional soda,Office fuel + smoothie,Millet bar + smoothie,Healthy ingredients,Variety & regional flavours,Maybe - depends on price,Few times/month,Neutral
MM0018,25-34,Female,Tier 3,Working professional,50K-1L,In-store browsing,Influencer reviews,Less than 1 hour,Flexitarian,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,Subscription box,Quick commerce,No healthy options nearby,1K-3K,400-600,1,0,0,0,0,0,0,0,1,4,Yes definitely,Millet chips + cold brew,Office fuel + smoothie,Protein bowl + energy drink,Healthy ingredients,Personalised recommendations,Yes - monthly,1-2 times/week,Probably yes
MM0019,25-34,Male,Metro,Working professional,1L-2L,Instagram/YouTube,Delivery app suggestions,More than 4 hours,Non-vegetarian,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,0,Quick commerce,Delivery apps,No personalisation,1K-3K,150-250,3,1,1,0,1,0,0,0,0,4,No - price matters,Snack box + functional soda,Meal bowl + green tea,Protein bowl + energy drink,Affordable pricing,Mood-based packaging,No - on demand,3-5 times/week,Definitely yes
MM0020,25-34,Female,Metro,Student,1L-2L,Influencer reviews,Friend/family,1-2 hours,Vegetarian,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,Subscription box,Brand's own app,Too expensive,3K-6K,150-250,3,1,0,0,0,1,0,0,0,3,Yes if same quality,Nothing,Meal bowl + green tea,Protein bowl + energy drink,Affordable pricing,Healthy ingredients,Yes - weekly,Few times/month,Probably yes
MM0021,35-44,Non-binary,Metro,Working professional,1L-2L,Instagram/YouTube,Delivery app suggestions,2-4 hours,Vegetarian,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,Offline retail,Brand's own app,Too unhealthy,3K-6K,250-400,4,0,0,0,0,1,0,1,0,4,Yes if same quality,Comfort bowl + dessert,Breakfast box (brunch),Millet bar + smoothie,Fast delivery,Personalised recommendations,Maybe - depends on price,3-5 times/week,Definitely yes
MM0022,18-24,Female,Metro,Homemaker,1L-2L,Instagram/YouTube,Delivery app suggestions,2-4 hours,Non-vegetarian,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,3+,0,0,0,1,0,0,Quick commerce,Delivery apps,Too unhealthy,Below 1K,250-400,5,0,0,1,1,0,0,0,0,2,Yes definitely,Nothing,Nothing - cook at home,Protein bowl + energy drink,Healthy ingredients,Affordable pricing,No - on demand,Few times/month,Definitely yes
MM0023,25-34,Female,Tier 2,Business owner,Above 2L,Friend/family,Google search,1-2 hours,Vegetarian,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,2,1,0,0,1,0,0,Delivery apps,Subscription box,Too unhealthy,Above 10K,Above 600,3,1,1,0,0,0,0,0,0,2,Yes definitely,Millet chips + cold brew,Nothing - cook at home,Nothing - own routine,Healthy ingredients,Affordable pricing,No - on demand,Rarely/unsure,Probably yes
MM0024,25-34,Male,Tier 3,Student,Below 25K,Delivery app suggestions,Instagram/YouTube,1-2 hours,Non-vegetarian,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,Quick commerce,Offline retail,No healthy options nearby,Below 1K,Above 600,3,0,1,0,0,0,0,1,0,4,No - price matters,Nothing,Nothing - cook at home,Breakfast box + cold coffee,Variety & regional flavours,Affordable pricing,Yes - weekly,Few times/month,Probably yes
MM0025,25-34,Male,Tier 2,Student,Below 25K,Influencer reviews,Google search,2-4 hours,Non-vegetarian,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,Quick commerce,Subscription box,Too unhealthy,1K-3K,150-250,3,0,0,0,0,0,0,0,1,5,No - price matters,Snack box + functional soda,Nothing - cook at home,Protein bowl + energy drink,Healthy ingredients,Mood-based packaging,Maybe - depends on price,Few times/month,Neutral
MM0026,35-44,Male,Tier 3,Working professional,25K-50K,In-store browsing,Influencer reviews,1-2 hours,Vegetarian,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,Delivery apps,Offline retail,Too unhealthy,Below 1K,Below 150,2,0,0,0,0,1,0,0,0,2,Don't care,Comfort bowl + dessert,Office fuel + smoothie,Millet bar + smoothie,Healthy ingredients,Variety & regional flavours,Yes - weekly,Rarely/unsure,Neutral
MM0027,18-24,Female,Metro,Homemaker,1L-2L,Influencer reviews,Google search,2-4 hours,Vegetarian,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,3+,1,1,1,0,0,1,Delivery apps,Quick commerce,Too unhealthy,Above 10K,400-600,5,0,0,0,1,0,0,0,0,3,Don't care,Comfort bowl + dessert,Breakfast box (brunch),Breakfast box + cold coffee,Variety & regional flavours,Mood-based packaging,Yes - weekly,3-5 times/week,Definitely yes
MM0028,25-34,Prefer not to say,Metro,Working professional,50K-1L,Google search,In-store browsing,Less than 1 hour,Vegetarian,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,0,0,1,0,1,Offline retail,Quick commerce,Boring/no variety,6K-10K,250-400,3,0,0,0,1,0,0,0,0,2,Yes if same quality,Comfort bowl + dessert,Meal bowl + green tea,Nothing - own routine,Healthy ingredients,Personalised recommendations,No - on demand,Rarely/unsure,Neutral
MM0029,25-34,Male,Tier 2,Freelancer,50K-1L,Friend/family,Delivery app suggestions,Less than 1 hour,Vegetarian,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,Quick commerce,Offline retail,Too unhealthy,6K-10K,150-250,2,1,0,0,1,0,1,0,0,3,No - price matters,Nothing,Meal bowl + green tea,Millet bar + smoothie,Healthy ingredients,Mood-based packaging,No - on demand,1-2 times/week,Probably yes
MM0030,18-24,Female,Metro,Student,50K-1L,Friend/family,Instagram/YouTube,1-2 hours,Vegetarian,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,Offline retail,Brand's own app,No healthy options nearby,3K-6K,150-250,4,0,0,0,1,0,0,0,0,4,Yes if same quality,Snack box + functional soda,Breakfast box (brunch),Protein bowl + energy drink,Healthy ingredients,Personalised recommendations,Maybe - depends on price,3-5 times/week,Probably yes
MM0031,35-44,Male,Tier 2,Homemaker,25K-50K,Friend/family,Instagram/YouTube,1-2 hours,Eggetarian,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,2,0,1,1,0,0,0,Brand's own app,Quick commerce,Too unhealthy,Below 1K,150-250,4,0,0,0,1,0,1,0,0,5,Yes definitely,Nothing,Nothing - cook at home,Protein bowl + energy drink,Healthy ingredients,Variety & regional flavours,No - on demand,1-2 times/week,Neutral
MM0032,18-24,Female,Metro,Student,25K-50K,Instagram/YouTube,Influencer reviews,More than 4 hours,Vegetarian,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,Brand's own app,Quick commerce,No healthy options nearby,Above 10K,150-250,4,0,0,1,0,0,0,0,0,1,No - price matters,Snack box + functional soda,Office fuel + smoothie,Millet bar + smoothie,Healthy ingredients,Variety & regional flavours,Yes - monthly,Few times/month,Definitely yes
MM0033,18-24,Male,Metro,Freelancer,25K-50K,Instagram/YouTube,Google search,More than 4 hours,Eggetarian,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,Offline retail,Delivery apps,No healthy options nearby,6K-10K,250-400,5,1,0,0,0,0,1,0,0,4,Yes definitely,Snack box + functional soda,Meal bowl + green tea,Protein bowl + energy drink,Fast delivery,Affordable pricing,No - on demand,Rarely/unsure,Definitely yes
MM0034,55+,Non-binary,Rural,Homemaker,Below 25K,Instagram/YouTube,Influencer reviews,Less than 1 hour,Vegetarian,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,Brand's own app,Offline retail,No healthy options nearby,3K-6K,400-600,2,0,0,1,1,0,1,0,0,3,No - price matters,Nothing,Nothing - cook at home,Protein bowl + energy drink,Variety & regional flavours,Fast delivery,No - on demand,1-2 times/week,Definitely no
MM0035,55+,Female,Metro,Retired,1L-2L,Instagram/YouTube,Friend/family,1-2 hours,Vegetarian,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,Delivery apps,Quick commerce,Too unhealthy,6K-10K,400-600,2,0,0,1,1,0,0,0,0,5,Yes definitely,Comfort bowl + dessert,Breakfast box (brunch),Millet bar + smoothie,Fast delivery,Affordable pricing,No - on demand,Few times/month,Neutral
MM0036,35-44,Male,Rural,Working professional,Below 25K,Instagram/YouTube,In-store browsing,2-4 hours,Eggetarian,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,3+,0,1,1,0,0,0,Delivery apps,Quick commerce,Too unhealthy,Below 1K,150-250,3,0,0,0,0,1,1,0,0,2,Yes if same quality,Snack box + functional soda,Office fuel + smoothie,Breakfast box + cold coffee,Personalised recommendations,Variety & regional flavours,Yes - weekly,Few times/month,Probably yes
MM0037,25-34,Male,Rural,Freelancer,25K-50K,Delivery app suggestions,Google search,1-2 hours,Non-vegetarian,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,Delivery apps,Offline retail,Too expensive,6K-10K,Below 150,4,0,1,0,0,0,0,0,0,1,Don't care,Millet chips + cold brew,Meal bowl + green tea,Nothing - own routine,Personalised recommendations,Mood-based packaging,Maybe - depends on price,Few times/month,Probably no
MM0038,18-24,Male,Tier 3,Homemaker,1L-2L,Google search,Instagram/YouTube,2-4 hours,Vegetarian,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Delivery apps,Subscription box,Boring/no variety,3K-6K,400-600,4,1,0,0,1,0,1,0,0,3,Yes if same quality,Millet chips + cold brew,Nothing - cook at home,Millet bar + smoothie,Affordable pricing,Healthy ingredients,Yes - weekly,1-2 times/week,Probably yes
MM0039,35-44,Male,Tier 2,Working professional,50K-1L,Friend/family,Instagram/YouTube,1-2 hours,Vegan,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,Quick commerce,Offline retail,Too unhealthy,3K-6K,250-400,3,1,0,0,0,0,1,1,0,4,Yes definitely,Nothing,Office fuel + smoothie,Nothing - own routine,Healthy ingredients,Personalised recommendations,Yes - monthly,Rarely/unsure,Probably yes
MM0040,25-34,Male,Tier 2,Business owner,Above 2L,In-store browsing,Instagram/YouTube,1-2 hours,Vegetarian,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Subscription box,Brand's own app,Too unhealthy,3K-6K,250-400,3,0,0,0,0,0,0,0,1,5,No - price matters,Comfort bowl + dessert,Breakfast box (brunch),Millet bar + smoothie,Affordable pricing,Fast delivery,Yes - monthly,Few times/month,Probably yes
MM0041,18-24,Female,Tier 3,Working professional,Above 2L,Influencer reviews,Friend/family,Less than 1 hour,Vegetarian,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,Delivery apps,Offline retail,Too unhealthy,Above 10K,400-600,4,0,0,0,0,0,1,1,0,2,No - price matters,Nothing,Meal bowl + green tea,Protein bowl + energy drink,Healthy ingredients,Personalised recommendations,Maybe - depends on price,1-2 times/week,Probably yes
MM0042,25-34,Female,Metro,Working professional,50K-1L,Instagram/YouTube,Delivery app suggestions,1-2 hours,Vegan,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,2,1,1,1,1,0,0,Delivery apps,Subscription box,Too expensive,1K-3K,150-250,5,1,0,0,0,0,0,0,0,4,Yes definitely,Snack box + functional soda,Meal bowl + green tea,Millet bar + smoothie,Mood-based packaging,Fast delivery,No - on demand,3-5 times/week,Definitely yes
MM0043,18-24,Male,Tier 2,Student,Below 25K,Influencer reviews,Delivery app suggestions,2-4 hours,Eggetarian,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,Delivery apps,Offline retail,Too unhealthy,Below 1K,250-400,4,0,0,0,0,0,1,0,0,3,No - price matters,Millet chips + cold brew,Breakfast box (brunch),Millet bar + smoothie,Healthy ingredients,Personalised recommendations,Yes - monthly,Few times/month,Probably yes
MM0044,45-54,Male,Tier 2,Working professional,1L-2L,In-store browsing,Delivery app suggestions,Less than 1 hour,Vegetarian,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,3+,0,0,0,1,0,1,Subscription box,Offline retail,Too unhealthy,6K-10K,250-400,4,0,0,1,0,0,1,0,0,2,Yes if same quality,Millet chips + cold brew,Nothing - cook at home,Breakfast box + cold coffee,Affordable pricing,Personalised recommendations,Yes - weekly,3-5 times/week,Definitely yes
MM0045,25-34,Female,Metro,Freelancer,50K-1L,Influencer reviews,Delivery app suggestions,1-2 hours,Vegetarian,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,3+,1,0,1,0,1,0,Subscription box,Offline retail,Too unhealthy,6K-10K,250-400,3,0,0,0,0,0,0,0,1,5,No - price matters,Snack box + functional soda,Breakfast box (brunch),Protein bowl + energy drink,Fast delivery,Personalised recommendations,No - on demand,3-5 times/week,Neutral
MM0046,35-44,Female,Metro,Homemaker,25K-50K,Friend/family,In-store browsing,1-2 hours,Vegan,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,Subscription box,Offline retail,No personalisation,3K-6K,Below 150,5,0,0,1,0,0,0,1,0,4,Don't care,Comfort bowl + dessert,Nothing - cook at home,Protein bowl + energy drink,Affordable pricing,Personalised recommendations,Yes - monthly,Few times/month,Probably yes
MM0047,25-34,Male,Metro,Working professional,1L-2L,In-store browsing,Friend/family,Less than 1 hour,Non-vegetarian,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,Delivery apps,Offline retail,Too unhealthy,3K-6K,250-400,1,1,0,0,0,1,0,0,0,3,Yes definitely,Snack box + functional soda,Nothing - cook at home,Breakfast box + cold coffee,Affordable pricing,Mood-based packaging,Yes - monthly,1-2 times/week,Probably yes
